Model: Gradient Boosting, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Gost -3 utakmica'], Accuracy: 0.5342, Spearman: 0.9519
Model: KNN, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Gost -3 utakmica'], Accuracy: 0.4658, Spearman: 0.9023
Model: Random Forest, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Gost -4 utakmica'], Accuracy: 0.5605, Spearman: 0.9128
Model: Logistic Regression, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Gost -4 utakmica'], Accuracy: 0.5421, Spearman: 0.9083
Model: SVC, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Gost -4 utakmica'], Accuracy: 0.5921, Spearman: 0.9654
Model: Gradient Boosting, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Gost -4 utakmica'], Accuracy: 0.5342, Spearman: 0.9654
Model: KNN, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Gost -4 utakmica'], Accuracy: 0.5474, Spearman: 0.9293
Model: Random Forest, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Gost -5 utakmica'], Accuracy: 0.5500, Spearman: 0.9218
Model: Logistic Regression, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Gost -5 utakmica'], Accuracy: 0.5474, Spearman: 0.9188
Model: SVC, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Gost -5 utakmica'], Accuracy: 0.5895, Spearman: 0.9579
Model: Gradient Boosting, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Gost -5 utakmica'], Accuracy: 0.5421, Spearman: 0.9639
Model: KNN, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Gost -5 utakmica'], Accuracy: 0.5263, Spearman: 0.9308
Model: Random Forest, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Forma Domacina Nova'], Accuracy: 0.5763, Spearman: 0.9504
Model: Logistic Regression, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Forma Domacina Nova'], Accuracy: 0.5447, Spearman: 0.9398
Model: SVC, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Forma Domacina Nova'], Accuracy: 0.5816, Spearman: 0.9594
Model: Gradient Boosting, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Forma Domacina Nova'], Accuracy: 0.5605, Spearman: 0.9534
Model: KNN, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Forma Domacina Nova'], Accuracy: 0.5000, Spearman: 0.9639
Model: Random Forest, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Forma Gosta Nova'], Accuracy: 0.5605, Spearman: 0.9383
Model: Logistic Regression, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Forma Gosta Nova'], Accuracy: 0.5526, Spearman: 0.8827
Model: SVC, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Forma Gosta Nova'], Accuracy: 0.5842, Spearman: 0.9594
Model: Gradient Boosting, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Forma Gosta Nova'], Accuracy: 0.5737, Spearman: 0.9714
Model: KNN, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Forma Gosta Nova'], Accuracy: 0.5000, Spearman: 0.9444
Model: Random Forest, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Dani od zadnjeg meca'], Accuracy: 0.5711, Spearman: 0.8992
Model: Logistic Regression, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Dani od zadnjeg meca'], Accuracy: 0.5526, Spearman: 0.9113
Model: SVC, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Dani od zadnjeg meca'], Accuracy: 0.5711, Spearman: 0.9699
Model: Gradient Boosting, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Dani od zadnjeg meca'], Accuracy: 0.5395, Spearman: 0.9383
Model: KNN, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Dani od zadnjeg meca'], Accuracy: 0.4737, Spearman: 0.8586
Model: Random Forest, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Dani od zadnjeg meca reset'], Accuracy: 0.5474, Spearman: 0.9203
Model: Logistic Regression, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Dani od zadnjeg meca reset'], Accuracy: 0.5474, Spearman: 0.8947
Model: SVC, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Dani od zadnjeg meca reset'], Accuracy: 0.5868, Spearman: 0.9744
Model: Gradient Boosting, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Dani od zadnjeg meca reset'], Accuracy: 0.5447, Spearman: 0.9564
Model: KNN, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Dani od zadnjeg meca reset'], Accuracy: 0.4789, Spearman: 0.8466
Model: Random Forest, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365A', 'Year'], Accuracy: 0.5474, Spearman: 0.8917
/usr/local/lib/python3.11/dist-packages/sklearn/linear_model/_logistic.py:465: ConvergenceWarning: lbfgs failed to converge (status=1):
STOP: TOTAL NO. of ITERATIONS REACHED LIMIT.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html
Please also refer to the documentation for alternative solver options:
    https://scikit-learn.org/stable/modules/linear_model.html#logistic-regression
  n_iter_i = _check_optimize_result(
Model: Logistic Regression, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365A', 'Year'], Accuracy: 0.5553, Spearman: 0.8692
Model: SVC, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365A', 'Year'], Accuracy: 0.4763, Spearman: 0.9850
Model: Gradient Boosting, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365A', 'Year'], Accuracy: 0.5447, Spearman: 0.9203
Model: KNN, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365A', 'Year'], Accuracy: 0.5711, Spearman: 0.9414
Model: Random Forest, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365A', 'Month'], Accuracy: 0.5500, Spearman: 0.9068
Model: Logistic Regression, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365A', 'Month'], Accuracy: 0.5447, Spearman: 0.9203
Model: SVC, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365A', 'Month'], Accuracy: 0.5895, Spearman: 0.9759
Model: Gradient Boosting, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365A', 'Month'], Accuracy: 0.5316, Spearman: 0.9368
Model: KNN, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365A', 'Month'], Accuracy: 0.5368, Spearman: 0.9669
Model: Random Forest, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365A', 'Season'], Accuracy: 0.5526, Spearman: 0.9398
Model: Logistic Regression, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365A', 'Season'], Accuracy: 0.5368, Spearman: 0.9173
Model: SVC, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365A', 'Season'], Accuracy: 0.5921, Spearman: 0.9654
