Model: Logistic Regression, Features: ['HomeTeam', 'AwayTeam', 'Forma Gosta Nova'], Accuracy: 0.5684, Spearman: 0.7203
Model: SVC, Features: ['HomeTeam', 'AwayTeam', 'Forma Gosta Nova'], Accuracy: 0.5921, Spearman: 0.6571
Model: Gradient Boosting, Features: ['HomeTeam', 'AwayTeam', 'Forma Gosta Nova'], Accuracy: 0.5579, Spearman: 0.6797
Model: KNN, Features: ['HomeTeam', 'AwayTeam', 'Forma Gosta Nova'], Accuracy: 0.4789, Spearman: 0.6962
Model: Random Forest, Features: ['HomeTeam', 'AwayTeam', 'Dani od zadnjeg meca'], Accuracy: 0.4447, Spearman: 0.5835
Model: Logistic Regression, Features: ['HomeTeam', 'AwayTeam', 'Dani od zadnjeg meca'], Accuracy: 0.5526, Spearman: 0.7985
Model: SVC, Features: ['HomeTeam', 'AwayTeam', 'Dani od zadnjeg meca'], Accuracy: 0.4763, Spearman: 0.6030
Model: Gradient Boosting, Features: ['HomeTeam', 'AwayTeam', 'Dani od zadnjeg meca'], Accuracy: 0.5395, Spearman: 0.5744
Model: KNN, Features: ['HomeTeam', 'AwayTeam', 'Dani od zadnjeg meca'], Accuracy: 0.4342, Spearman: 0.6496
Model: Random Forest, Features: ['HomeTeam', 'AwayTeam', 'Dani od zadnjeg meca reset'], Accuracy: 0.4500, Spearman: 0.6180
Model: Logistic Regression, Features: ['HomeTeam', 'AwayTeam', 'Dani od zadnjeg meca reset'], Accuracy: 0.5553, Spearman: 0.7579
Model: SVC, Features: ['HomeTeam', 'AwayTeam', 'Dani od zadnjeg meca reset'], Accuracy: 0.5237, Spearman: 0.6962
Model: Gradient Boosting, Features: ['HomeTeam', 'AwayTeam', 'Dani od zadnjeg meca reset'], Accuracy: 0.5368, Spearman: 0.5474
Model: KNN, Features: ['HomeTeam', 'AwayTeam', 'Dani od zadnjeg meca reset'], Accuracy: 0.4342, Spearman: 0.7083
Model: Random Forest, Features: ['HomeTeam', 'Referee', 'B365H'], Accuracy: 0.5132, Spearman: 0.9398
Model: Logistic Regression, Features: ['HomeTeam', 'Referee', 'B365H'], Accuracy: 0.5684, Spearman: 0.9669
Model: SVC, Features: ['HomeTeam', 'Referee', 'B365H'], Accuracy: 0.5842, Spearman: 0.9684
Model: Gradient Boosting, Features: ['HomeTeam', 'Referee', 'B365H'], Accuracy: 0.5289, Spearman: 0.9714
